Country,Latitude,Longitude,GNI,GDP,Population,UNRP10,UNRP20,WBGini,GenderGapRank2013,GenderGapScore2013,EconomicRank2013,EconomicScore2013,EducationalRank2013,EducationalScore2013,HealthRank2013,HealthScore2013,PoliticalRank2013,PoliticalScore2013,TotalGold2014,TotalSilver2014,TotalBronze2014,TotalMedals2014,WomenGold2014,WomenSilver2014,WomenBronze2014,WomenMedals2014,WomenMedals2014Sqrt,MenGold2014,MenSilver2014,MenBronze2014,MenMedals2014,MenMedals2014Sqrt,TotalGold2012,TotalSilver2012,TotalBronze2012,WomenMedals2012,MenMedals2012,TotalMedals2012,TotalMedals2012and2014,TotalMedals2012and2014SQRT,TotMed1214per_,TotMed1214perPop,TotMedWom1214,TotMedMen1214,TotMedWom1214sqrt,TotMedMen1214sqrt
Cambodia,101,76,2360,14062,14864646,12.2,7.3,37.9,104,0.6509,77,0.6514,117,0.8811,1,0.9796,96,0.0916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,93,169,2320,24984,21699631,15.7,9.1,38.9,100,0.656,40,0.7258,122,0.847,112,0.9612,99,0.0902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,135,255,42690,1821424,34880491,9.4,5.5,32.6,20,0.7425,9,0.7959,1,1,49,0.978,42,0.1959,10,10,5,25,6,4,1,11,3.32,4,4,4,12,3.46,1,5,12,31,15,18,43,6.56,0,0,42,27,6.48,5.2
Cape Verde,90,180,4340,1897,,0,,50.5,41,0.7122,96,0.602,97,0.9663,1,0.9796,25,0.3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,102,166,1320,11018,12448175,0,,39.8,134,0.5588,75,0.6547,135,0.5311,112,0.9612,102,0.0883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,57,250,21590,268314,17464814,26.2,15.7,52.1,91,0.667,112,0.5445,32,0.9993,1,0.9796,67,0.1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,129,64,9210,8358363,1.35E+09,21.6,12.2,47,69,0.6908,62,0.6752,81,0.988,133,0.9398,59,0.1604,3,4,2,9,3,2,0,5,2.24,0,2,2,4,2,38,27,23,51,34,88,97,9.85,0,0,56,38,7.48,6.16
Colombia,94,254,10110,369813,47704427,60.4,25.3,55.9,35,0.7171,39,0.7275,45,0.9954,34,0.9791,55,0.1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,3,8,8,2.83,0,0,3,3,1.73,1.73
Costa Rica,99,264,12590,45127,4805295,23.4,15.6,50.7,31,0.7241,98,0.5955,1,1,62,0.9747,21,0.3263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,96,185,1960,24680,19839750,16.6,9.7,41.5,131,0.5814,110,0.5561,133,0.7141,1,0.9796,107,0.0758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
